title,date,content,link
In-Person Workshop: Learn to Code – JavaScript on 7/26 - Codeup,"Jul 6, 2022 ","In-Person Workshop: Learn to Code – JavaScript on 7/26
Jul 6, 2022 | San Antonio, Workshops







Join us for our live in-person JavaScript crash course, where we will dig into one of the fastest-growing languages in the software development industry. It’s free and open to all – you don’t need to have any previous programming knowledge to participate. 
By the end of the presentation, you will:

Have a good understanding of what programming means
Know what JavaScript is and how it’s used
The best part: we will get our hands dirty writing some JavaScript. 

Don’t worry…we’ll walk you through every step. Come learn to code live with our very own instructor staff. Maybe this will be your jumpstart into an exciting and in-demand career…for FREE! 
Must be 18+ to participate. 
Parking is free on Tuesdays in downtown San Antonio.",https://codeup.com/workshops/san-antonio/in-person-workshop-learn-to-code-javascript-on-7-26/
In-Person Workshop: Learn to Code - Python on 7/19 - Codeup,"Jun 20, 2022 ","In-Person Workshop: Learn to Code – Python on 7/19
Jun 20, 2022 | San Antonio, Workshops







According to LinkedIn, the “#1 Most Promising Job” is data science! One of the major building blocks to data science is Python. Python is a programming language used to manipulate data, conduct analysis, and apply machine learning algorithms. If you’re curious to learn more, join this free virtual workshop! You will:

Learn the basics of Python from our very own Data Science instructors
Gain hands-on practice programming in Python, including syntax, data types, control structures, and functions
Get an introduction to the field of data science
Uplevel your skills live from the comfort of your own home.

Don’t worry — no prior experience is needed to participate. Save your seat quickly – our Python workshops are always in high demand! 

What you need:
1. Laptop (does not matter what kind). You need to be able to access WiFi and run an internet browser.
2. To RSVP!

AGE REQUIREMENT: 17+ 

Parking: 
You can park across the street in the parking garage, on the street, or anywhere else downtown. Parking is free on Tuesdays downtown.",https://codeup.com/workshops/in-person-workshop-learn-to-code-python-on-7-19/
Free JavaScript Workshop at Codeup Dallas on 6/28 - Codeup,"Jun 19, 2022 ","Free JavaScript Workshop at Codeup Dallas on 6/28
Jun 19, 2022 | Dallas, Dallas Newsletter, Workshops







Event Info: 
Location – Codeup Dallas
Time – 6 pm 
Come Learn JavaScript
Join us for our live in-person JavaScript crash course, where we will dig into one of the fastest-growing languages in the software development industry. It’s free and open to all – you don’t need to have any previous programming knowledge to participate. 
By the end of the presentation, you will:

Have a good understanding of what programming means
Know what JavaScript is and how it’s used
The best part: we will get our hands dirty writing some JavaScript. 

Don’t worry…we’ll walk you through every step. Come learn to code live with our very own instructor staff. Maybe this will be your jumpstart into an exciting and in-demand career…for FREE! 
Parking
You can park inside our gragae at our building! Just take a ticket. Once our workshop is over you can stop by the security desk and they will validate your parking for you. 
Must be 18+ to participate.",https://codeup.com/workshops/dallas/free-javascript-workshop-at-codeup-dallas-on-6-28/
Is Our Cloud Administration Program Right for You? - Codeup,"Jun 8, 2022 ","Is Our Cloud Administration Program Right for You?
Jun 8, 2022 | Featured, IT Training, Tips for Prospective Students


Changing careers can be scary. The first thing you may be asking yourself is, “where do I begin?” If you are looking into a career in tech, but coding or statistics aren’t your thing, our brand new Cloud Administration program might be just for you!
What Exactly is Cloud Administration?
The future is in the cloud! As the new way of doing business, all kinds of companies need to build or interact with cloud products. These aren’t just high-tech solutions – they’re the core of everyday products like cloud-based gaming from Xbox, collaborative work tools from Google Drive, and even music streaming services from Spotify! A Cloud Administrator works with software developers to design, build, maintain, and optimize a cloud architecture to run software applications.
What Will You Learn?
Just like our Data Science and Web Development programs, the Cloud Administration program is considered a career accelerator. Unlike a traditional 4 year degree, you can complete our program in just 15 weeks! You will receive hands-on training in:

Networking fundamentals
Linux Operating System
Windows Operating System
Cloud and Computer Security
Amazon Web Services (AWS Cloud)

You’ll even earn two industry-recognized certifications as an AWS Cloud Practitioner and AWS Solutions Architect Associate, fully included in your tuition. You’ll learn how each technology works together, and how they are applied to real projects by starting simple, then progressively getting more complex as you add more tools to your toolbox. We’ll teach you to build infrastructure that enables software and data science products, manage cloud deployments, and optimize for cloud performance. 
As for instruction, we are dedicated to giving you the best. Your instructors are speaking from real industry experience, and are invested in every student’s success. They’re essentially your personal mentors providing on-the-ground support, making themselves accessible to you when you need them. 
Your Success
Not only will you be equipped with in-demand cloud skills, but you’ll also get professional development along the way, including help polishing your resume and LinkedIn, as well as access to our employer network. This program, with the support of our career coaches and placement team, can help you become a: 

Cloud Administrator
Cloud Architect
Cloud Engineer
Cloud Network Engineer
Cloud Security Engineer 

You’re not stuck in one lane when you come to Codeup. With our instructors, coaches, and placement team you can take what you learn and run with it. Cloud technology is improving every single day and this course can ensure you are at the forefront of helping build and maintain that technology. 
Codeup Payment Options
Financing your career transition can be a bit stressful, but we never want it to stop you from changing your career and applying. We have a dedicated Financial Aid and Enrollment team to walk you through every possible option to pay for your tuition here at Codeup. Whether you are using your VA benefits, grants, loans, scholarships, or self-paying, our team will work with you to ensure you receive all forms of financial aid for which you qualify. You can change your career regardless of your financial situation.
Want more information on our Cloud Administration program? Check our student reviews, and our blog on 5 Reasons We Think You Should Attend the Cloud Administration program. You can do more than dream of this life-changing career – you can LIVE IT!. Our application process is the first step to beginning your journey in Cloud Administration today!",https://codeup.com/tips-for-prospective-students/is-our-cloud-administration-program-right-for-you/
PRIDE in Tech Panel - Codeup,"Jun 5, 2022 ","PRIDE in Tech Panel
Jun 5, 2022 | Dallas, San Antonio, Virtual, Workshops








In celebration of PRIDE month, join our Codeup Alumni from the LGBTQIA+ community as they discuss their careers in tech!
Hosted by Codeup’s Katie Facemire, our panel will discuss what it was like to attend Codeup, what it’s like to work in tech, and what challenges they face working the tech community as a member of LGBTQIA+. Joining us on the panel will be Benjamin Hodge, Natasha Rivers, and Steven Garis. As we mentioned, all three are Codeup Alumni.
The panel is free to attend virtually, but you must register on the page below. Once you register we will send you the exclusive Livestream link.
Thanks for registering and we will see you soon!",https://codeup.com/workshops/pride-in-tech-panel/
Inclusion at Codeup During Pride Month (and Always) - Codeup,"Jun 1, 2022 ","Inclusion at Codeup During Pride Month (and Always)
Jun 1, 2022 | Codeup News


Happy Pride Month! Pride Month is a dedicated time to celebrate and support the LGBTQIA+ community. At Codeup, one of our core values is Cultivating Inclusive Growth, something that takes on many shapes, sizes, forms, and colors. From representation in tech to empowering and supporting all, let’s reflect on how we live out this core value for our LGBTQIA+ community, not just during Pride Month, but always.
Cultivating Inclusive Growth
We’re firm believers that the people making tech should look like the people using it, which is everyone. We’re proud to offer Pride Scholarships year round, which aim to increase, support, and promote representation of the LGBTQIA+ community in tech. However, representation is only one part of cultivating inclusive growth. We want to help create a thriving tech community where everyone feels represented, but also safe and empowered.
In a 2019 survey conducted by Blind, 83% of LGBQ technologists and 78% of trans or gender non-conforming technologists reported that they felt safe in the workplace. In 2020, those numbers dropped to 76% and 64%, respectively.
Why the drop? Maybe recent pushes for representation in tech weren’t followed up with efforts to truly cultivate inclusivity and growth.
Codeup Initiatives
To cultivate inclusive growth, we don’t stop at representation. We also empower and support our community so that no one feels unsafe. Our internal DEI Taskforce empowers our staff with resources and conversations that aim to create a diverse culture of support, safety, and inclusivity for each other and our students.
Equipped with this knowledge, our staff can cultivate inclusive growth from the first time they interact with an applicant all the way until they get placed into a new job. They may have even felt empowered just by seeing our students and staff sporting their Pride t-shirts around town. 
Not only do we want the people making tech to look like the people using it, we also want them to feel safe and empowered to do so.
If you’re looking for a career in tech, let us empower you every step of the way! First, apply now. Then, apply for our Pride Scholarship.",https://codeup.com/codeup-news/inclusion-at-codeup-during-pride-month-and-always/
Mental Health First Aid Training - Codeup,"May 31, 2022 ","Mental Health First Aid Training
May 31, 2022 | Tips for Prospective Students


As a student of Codeup, going through a massive career transition can be mentally taxing. Did you know that members of our student-facing staff and human resources team are trained in Mental Health First Aid? Let’s dive into what that means for Codeup! 
Mental Health First Aid Training 
Some of our Codeup staff that works directly with our students are trained in Mental Health First Aid. This includes members of our student experience team, career coaches, and the human resources department. This training was courtesy of the Center for Health Care Services in San Antonio. They graciously provided the funding and training for our team in this pilot training program. 
What is Mental Health First Aid? According to mentalhhealthfirstaid.org, “is a course that teaches you how to identify, understand, and respond to signs of mental illness and substance use disorders. The training gives you the skills you need to reach out and provide initial help and support to someone who may be developing a mental health or substance use problem or experiencing a crisis”.
To be clear, our staff are not licensed, mental health professionals. What MHFA equips our staff with are tools to gauge risk and connect students and staff with the help they might need. This might include recognizing something in a meeting, picking up on cues during a casual conversation, or acting on a pattern behavior. 
How does this help our students?
Many who go through Codeup’s programs will tell you it is both rewarding and challenging all at the same time. Some students have compared learning at Codeup to  “drinking from a firehouse”. You learn so much at once, so fast. This style of learning if you are not used to it can be taxing on anyone’s mental fortitude. This allows our staff who work closely with the students to be able to identify if a student is in need of mental health help. 
Consider Your Career Change Today
Why does this skill set matter? You! We’re here to support your career transition as best we can, and Mental Health First Aid training is just one small piece of that larger support effort. Learn more about how we can support your career transition by applying today.",https://codeup.com/tips-for-prospective-students/mental-health-first-aid-training/
Codeup Dallas: How to Succeed at a Coding Bootcamp on June 9th - Codeup,"May 23, 2022 ","Codeup Dallas: How to Succeed at a Coding Bootcamp on June 9th
May 23, 2022 | Dallas, Dallas Newsletter, Events, Workshops







This event is the perfect opportunity for people that have been wondering what to expect in a coding bootcamp and how to make the most of it. This event is for everyone, but especially great for recently admitted students and applicants still working through the admissions process, and/or those considering whether or not to take the leap into a coding bootcamp! We’ve seen hundreds of people come through our bootcamp – hear the keys to success (and common pitfalls) we’ve seen repeated over and over! 
Hosted by: Dimitri Antoniou, VP of Strategic Initiatives 
This event in person at our brand new Dallas campus!",https://codeup.com/workshops/codeup-dallas-how-to-succeed-at-a-coding-bootcamp-on-june-9th/
5 Reasons To Attend Our New Cloud Administration Program - Codeup,"May 17, 2022 ","5 Reasons To Attend Our New Cloud Administration Program
May 17, 2022 | Codeup News, Featured, IT Training, Tips for Prospective Students


Come Work In The Cloud
When your Monday rolls around, do you start to get a sense of dread? That might be a sign to break up with your current job and learn something new. At Codeup, we don’t want you to keep your head in the clouds while working a job you can’t stand. You should learn all about the cloud and cloud technology! As we charge forward into 2022, we recently announced our brand new Cloud Administration Program. 
This is a 15-week career accelerator that gets you hands-on experience with:

Networking
Linux Operating System 
Windows Operating System 
Security 
Amazon Web Services (AWS) Cloud Technology

You’ll earn two industry-recognized certifications as an AWS Cloud Practitioner and AWS Solutions Architect Associate. Both are included as part of your tuition. You will learn how to build infrastructure that enables software and data science products, manage cloud deployments, and optimize for cloud performance. 
Here are 5 reasons why we think you should attend our Cloud Administration program: 
 
1.) The Campus 
Located on Rackspace property, our Castle campus has everything you need. Tabletop games to play with classmates on break? We got foosball and ping pong! Need a drink to quench your thirst? We have complimentary soda, water, and tea. 
There is also lots of seating across the campus for you to study, have lunch, or even meet with classmates. 
Parking is free since we are located on Rackspace’s property. You have the option to park about 100 ft away from our building, or you can park on the underground level to save your car from the heat if you attend during the summer months. 
There is also plenty of food options within driving distance of campus. Fast food options include Mcdonald’s, Panda Express, and Bill Miller’s BBQ. For more sit-down restaurant options, you can visit Applebee’s, Buffalo Wild Wings, or Olive Garden. If you want to bring your lunch we have microwaves and refrigerators to enjoy your lunch on campus. 
 
2.) Time and Money Spent 
In just 15 weeks you will be on your way to a new career that’s in high demand! That means you won’t have to wait 2 – 4 years like other traditional degree plans to get started in your new career. 
Is the cost of our program a concern? We totally understand if it is. Our Cloud Administration program is also the most affordable option of our three programs at Codeup if you’re looking to save the most money. It’s also more affordable than a traditional degree. 
At Codeup we have a dedicated team of Financial Aid and Enrollment managers who will work with you one on one to ensure you have everything you need to pay for your time at Codeup that makes sense for your individual situation. 
We have grants, scholarships, and student loans for those who qualify. If you’re a Veteran or a dependant of a Veteran you might have GI Bill benefits for use at Codeup. We just launched an exclusive scholarship with Climb Credit that you can apply for here. 
Lastly, you can always go through your own financial institution to see what options are available to pay for Codeup. 
Check out a walkthrough of our financial aid options here. 
 
3.) Salary & Benefits 
Almost everyone changing careers during the “Great Resignation” is doing it for better pay and better benefits. 
What if I told you that any career you obtain through our Cloud Administration program offered you both a better salary and better benefits? 
According to Indeed.com the average salary for a Cloud Engineer right now is $118,712 in Texas (which is similar to the National average). This mirrors a Glassdoor Median Base salary of $118,999. Glassdoor also notes a job satisfaction rating of 4 out of 5 and over 10K open roles under the title Cloud Engineer. 
Are you guaranteed a salary like that after graduation? Not necessarily since this was an average salary. However, what that means is you have the potential to get to that level of salary at some point in your new career.
Your new skill sets could land you at a larger company like Accenture, EY, or even USAA. On the other hand, you could end up at a small company like a startup or SaaS (software as a service) company. 
Both of those options will typically give you things like a great health care plan, generous amounts of time off, and additional perks like continuing education and gym discounts. Startups might be a little more unique in their offerings like remote work options, paying for new office equipment, and even potentially paying for an annual company retreat if the company works remotely. 
 
4.) Job Security
According to IT senior managers in a recent Robert Half survey, cloud expertise is the topmost in-demand skill set. This means cloud experts are in high demand and will continue to be as more companies adopt cloud infrastructures. The curriculum you go through in this program won’t stick you to just one lane. Coming out of the Cloud Administration program you could land a job as a: 

Cloud Engineer
Cloud Network Engineer 
Cloud Security Engineer 
Cloud Architect 
Cloud Administrator 

Having this many career options to choose from makes you a valuable and in-demand candidate for any tech company big or small. At Codeup, we have an employer-influenced curriculum. So once you graduate, you are equipped with the latest skills and knowledge today’s employers are looking for. 
 
5.) Our Instructors Are Next Level 
Our instructors genuinely care about your success. They lecture and take questions in real-time. Instead of giving you the answer, they will guide you in the right direction until you understand it yourself. They are all responsive and engaging, with a commitment to your success and a mission of empowering life change. 
At other boot camps, you won’t find the same quality of instructors with industry experience, subject matter expertise, and live interactive lectures and lab. Even at the college level, professors often don’t provide individualized attention, hands-on learning, or accountability. Our instructors make a difference in your learning journey. 
If having awesome instructors wasn’t enough, we also have a dedicated Student Experience team. This team is designed to work in collaboration with our instructors to ensure your success. Need a one-on-one session with your instructor? They can help with that. Need help just managing your time better? They can help with that too! These are passionate education professionals who want to empower you to get to that finish line we call graduation! 
Read more about why you need the best coding Bootcamp instructors here. 
 
Wrapping Up
As we mentioned, as more companies adopt cloud technologies the demand for cloud experts will only continue to grow. Take this as a sign to launch your career in tech and attend our brand new Cloud Administration program today. 
Our next class starts June 16th so don’t wait to get started and fill out this form here for our admissions team to get in touch with you. You can beat the heat this summer, learn new skills, and launch your career in the cloud! We can’t wait to hear from you!",https://codeup.com/featured/5-reasons-to-attend-our-new-cloud-administration-program/
Learn to Code: Python on 5/21 - Codeup,"May 16, 2022 ","Learn to Code: Python on 5/21
May 16, 2022 | Events, San Antonio, Workshops







According to LinkedIn, the “#1 Most Promising Job” is data science! One of the major building blocks of data science is Python. What is data science? What is Python? If you’re curious, join this free virtual workshop to learn the basics of Python from our very own Data Science instructors and get an introduction to the field of data science, brought to you live from the comfort of your own home.
Python is the dominant programming language in data science, used to manipulate data, conduct analysis, and apply machine learning algorithms. You will gain hands-on practice with programming Python including syntax, data types, control structures, and functions. Don’t worry — no prior experience is needed to participate in this workshop.
Save your seat quickly – our Python workshops are always in high demand! 
What you need:
1. Laptop (does not matter what kind). You need to be able to access WiFi and run an internet browser.
2. To RSVP!
You must be 18+ to attend the workshop and also must live in the United States. The ticket is subject to cancellation if under 18 or live outside the US. of",https://codeup.com/workshops/learn-to-code-python-on-5-21/
